dateObserved,intensity,laneId,location,id,type,vehicleType,reversedLane,name
2020-02-27,1026,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002270000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-28,1278,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002280000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-29,530,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002290000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-01,973,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003010000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-02,924,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003020000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-03,1129,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003030000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-04,1238,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003040000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-05,952,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003050000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-06,1113,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003060000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-07,760,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003070000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-08,1048,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003080000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-09,1229,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003090000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-10,1243,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003100000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-11,1566,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003110000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-12,1189,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003120000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-13,1233,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003130000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-14,1366,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003140000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-15,840,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003150000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-16,711,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003160000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-17,577,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003170000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-18,606,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003180000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-19,590,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003190000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-20,334,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003200000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-21,210,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003210000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-22,166,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003220000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-23,206,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003230000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-24,148,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003240000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-25,180,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003250000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-26,194,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003260000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-27,220,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003270000,TrafficFlowObserved,bicycle,False,Berracasa
